https://schema.org/name,https://schema.org/address,https://schema.org/url,https://schema.org/scheduleTimezone,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/Comment
越前市役所,府中一丁目13-7,https://www.city.echizen.lg.jp/,午前６時から午後１０時まで,35.903474,136.168674,東,
武生センチュリープラザ,府中一丁目2-3,http://www7b.biglobe.ne.jp/~masatotcd/,午前６時から午後１０時まで,35.903,136.17036,東,
武生公会堂記念館,蓬莱町8-8,https://www.city.echizen.lg.jp/office/090/030/bunkasisetu/kokaido-top.html,午前６時から午後１０時まで,35.90164,136.16833,東,
蔵の辻,蓬莱町3,,午前６時から午後１０時まで,35.90235,136.1665,東,
万葉菊花園,余川町22-96-1,https://www.city.echizen.lg.jp/office/060/050/040/index.html,午前６時から午後１０時まで,35.88686,136.23755,味真野,
中央図書館,高瀬二丁目7-24,http://lib-city-echizen.jp/,午前９時３０分から午後７時まで,35.89891,136.15927,西,
菊人形事務所,高瀬二丁目7,https://www.city.echizen.lg.jp/kankou/kikuningyou/,午前６時から午後１０時まで,35.90027,136.15743,西,
文化センター,高瀬二丁目3-3,https://www.jigyodan-city-echizen.jp/,午前６時から午後１０時まで,35.89949,136.15994,西,
今立総合支所,粟田部町11-35,https://www.city.echizen.lg.jp/office/200/030/index.html,午前６時から午後１０時まで,35.91791,136.24583,粟田部,
今立図書館,定友町21-3-1,http://lib-city-echizen.jp/,午前９時３０分から午後７時まで,35.91923,136.24737,岡本,
いまだて芸術館,粟田部町11-1-1,https://www.city.echizen.lg.jp/office/090/030/bunkasisetu/imadategeijyutukan.html,午前９時から午後１０時まで,35.91865,136.24722,粟田部,
武生東公民館,国府二丁目9-12,https://www.city.echizen.lg.jp/office/090/050/010/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.90899,136.167855,東,メッシュWifi
武生西公民館,中央二丁目5-35,https://www.city.echizen.lg.jp/office/090/050/020/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.90214,136.15642,西,メッシュWifi
武生南公民館,武生柳町12-27,https://www.city.echizen.lg.jp/office/090/050/030/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.89524,136.16406,南,メッシュWifi
神山公民館,広瀬町102-55-2,https://www.city.echizen.lg.jp/office/090/050/040/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.88596,136.13558,神山,メッシュWifi
吉野公民館,本保町19-6,https://www.city.echizen.lg.jp/office/090/050/050/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.92642,136.15829,吉野,メッシュWifi
国高公民館,国高二丁目324-13,https://www.city.echizen.lg.jp/office/090/050/060/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.91133,136.18986,国高,メッシュWifi
大虫公民館,丹生郷町13-20-1,https://www.city.echizen.lg.jp/office/090/050/070/index.html,午前８時から午後１０時まで（公民館の開館時間に順じる）,35.90764,136.14161,大虫,メッシュWifi
坂口公民館,湯谷町24-18-1,https://www.city.echizen.lg.jp/office/090/050/080/index.html,午前８時から午後１０時まで（公民館の開館時間に順じる）,35.85979,136.0867,坂口,メッシュWifi
王子保公民館,四郎丸町65-2-1,https://www.city.echizen.lg.jp/office/090/050/090/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.86743,136.16889,王子保,メッシュWifi
北日野公民館,矢放町21-11,https://www.city.echizen.lg.jp/office/090/050/100/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.88972,136.18875,北日野,メッシュWifi
北新庄公民館,北町54-25,https://www.city.echizen.lg.jp/office/090/050/110/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.91294,136.21103,北新庄,メッシュWifi
味真野公民館,味真野町7-2-1,https://www.city.echizen.lg.jp/office/090/050/120/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.88745,136.22653,味真野,メッシュWifi
白山公民館,都辺町36-84,https://www.city.echizen.lg.jp/office/090/050/130/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.88801,136.05591,白山,メッシュWifi
花筐公民館,粟田部町17-20,https://www.city.echizen.lg.jp/office/090/050/140/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.91918,136.23862,粟田部,メッシュWifi
岡本公民館,定友町10-2-2,https://www.city.echizen.lg.jp/office/090/050/150/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.91385,136.24492,岡本,メッシュWifi
南中山公民館,西庄境町21-7-1,https://www.city.echizen.lg.jp/office/090/050/160/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.92926,136.24818,南中山,メッシュWifi
服間公民館,藤木町12-39-1,https://www.city.echizen.lg.jp/office/090/050/170/index.html,午前９時から午後１０時まで（公民館の開館時間に順じる）,35.93481,136.26391,服間,メッシュWifi
紫ゆかりの館,東千福町21-12,https://www.city.echizen.lg.jp/office/060/050/fujinamitei.html,午前１０時から午後８時まで,35.89025,136.15663,南,
万葉の里,余川町55-1,https://www.city.echizen.lg.jp/office/060/050/040/ajimanoen.html,午前９時から午後５時まで,35.88498,136.2369,味真野,
湯楽里,白崎町68-8,http://yurari-yu.jp/,午前６時から午後１１時まで,35.863366,136.144598,王子保,
金華山グリーンランド,米口町58-25,https://www.city.echizen.lg.jp/office/kankyounourin/030/kinkasangreenland.html,,35.866215,136.057508,白山,
越前市アイシンスポーツアリーナ（武生中央公園総合体育館）,高瀬二丁目8-23,https://www.city.echizen.lg.jp/office/090/040/sisetu/takefutyuokoensogotaiikukan.html,,35.90058107,136.1555287,西,
福祉健康センター,府中一丁目11-2,https://www.city.echizen.lg.jp/office/050/030/sisetu-kanri/fukusikennkousennta.html,午前９時から午後１０時まで,35.904183,136.170214,東,メッシュWifi
八ツ杉森林学習センター,別印町19-1-1,https://www.city.echizen.lg.jp/office/kankyounourin/030/yatusugi.html,,35.887979,136.307953,岡本,
